month,Animalia,Plantae,Fungi,Chromista,Protozoa,Bacteria,Viruses
Jan,240714,128252,18425,557,245,100,30
Feb,247711,146967,13032,637,137,87,40
Mar,340183,278143,14719,781,213,161,28
Apr,539268,579981,20286,914,306,148,73
May,675060,732146,24689,1138,442,186,68
Jun,641812,600219,19742,1457,753,115,85
Jul,691162,581634,22654,1328,823,130,94
Aug,587437,464034,26571,1214,552,135,104
Sep,334927,272520,21471,753,361,124,51
Oct,200678,157407,19922,450,345,102,9
Nov,150978,90652,12777,317,188,54,17
Dec,129395,66878,9161,395,111,39,16
